업소명,카테고리,메뉴명,가격,설명,대표메뉴,이미지URL
메가MGC커피 배곧한라비발디점,에이드&주스,메가에이드,4900,레몬의 상큼함 라임의 특유한 향 그리고 자몽의 달콤함과 쌉싸름한 맛을 느끼 수 있는 메가MGC커피 베스트 메뉴 메가에이드,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/4/Q5tENzcXDDCQPunmkxMh0zRh1M6aTmE4fgUkIKwO2o98x3SgB2RMzC_NAruu_Go2FqbzfUgEmV8LQTW5rGOgJk5KKODLdlggg-euHjS611g=.jpg
메가MGC커피 배곧한라비발디점,음료,(ICE)오레오초코라떼,4900,달콤한 초콜릿의 풍미와 아삭한 오레오 살아있는 아이스 초코음료,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/4/CLscCTM4lF9wK3TGC-_jXsHmtqrIlkXoC_FXGf3wGw48qJ7XXhFRrOSpdw42naxfqrBRcg8pEm5kI0ixqAI2BsDprk8EYNL0lsH-dqSj9HU=.jpg
메가MGC커피 배곧한라비발디점,음료,핫초코,4500,부드러운 우유에 진한 초코소스가 어우러져 달콤하게 입맛을 깨우는 초콜릿 음료,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/14/eCnZ0fbfWdqBGmqe9ULnebNqFFYFglMg_4mzIYhBO6dvQMk0YlRDm7kn5SFb08R4AbIdUSBUvlJAE-k1jCEQt9qDmUHabFjH-ZlpvaUy2hI=.jpg
메가MGC커피 배곧한라비발디점,음료,아이스초코,4500,부드러운 우유에 진한 초코소스가 어우러져 달콤하게 입맛을 깨우는 초콜릿 음료,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/3/28/AffY9Ui4NN306YYX3OBdSquPY0830jqFA-BeVjBXiemNaSH9dRTN4oVxbQ-3zWXfDQ3bHS3N_LTUnpl4_oxqmPA4wFQa9qvD8fx4rpsZ1fw=.jpg
메가MGC커피 배곧한라비발디점,음료,(HOT)토피넛라떼,4800,달콤 고소한 토피넛에 부드러운 우유가 더해진 라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/14/7_7I2nWlmKPeIqCQmBmijHfPY4NqZcesLkOUIhL_Abs8GiPJOsSMsB9JmFiFxl1jsZOOhzm1lNggFR5t4YmcXG1NARCNk-Qh7DiLTSoaF0U=.jpg
메가MGC커피 배곧한라비발디점,음료,(ICE)토피넛라떼,4800,달콤 고소한 토피넛에 부드러운 우유가 더해진 라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/4/UJOYDOT1iVtRIRIVY7h21MUqhpyOxo1PA4sALQZc3QIkgzM2w_cbxc2gYuf-LsKTbKRgJgb7g0yTTcsAiwncesJ1qhjWLajW7UMIcEaekjM=.jpg
메가MGC커피 배곧한라비발디점,음료,(HOT)로얄밀크티라떼,4700,"부드러운 우유에 은은한 홍차를 부어, 보드랍고 향긋한 한 모금을 완성한 라떼",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/14/bBwH5weMkSR6z4aEgl0sLyxyYYLw9HDgqL_ZnN4MYwm7oE9dWWP3FFv9S80APSLDNm8nHxWPMUjXqv02s-GjNkPqQJGa7KXXe4nWhLUmtCg=.jpg
메가MGC커피 배곧한라비발디점,음료,(ICE)로얄밀크티라떼,4700,"부드러운 우유에 은은한 홍차를 부어, 보드랍고 향긋한 한 모금을 완성한 라떼",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/4/5nZcFQdOlYmvaX8uIPAekIDCD0KClKNoepVf7WMw8k89Q7Y1kU-vsz-YF2YclnQgRvGUwzoaCus6Zmw9QabBOQaM426wQXu9ndAgd9nJ1oU=.jpg
메가MGC커피 배곧한라비발디점,음료,(HOT)녹차라떼,4500,향긋한 녹차에 우유를 더해 입 안에 부드러운 푸릇함을 선물하는 라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/14/IpLtr10JuJMHs6UVu1LP39fuTmOZLfHnysQrk2aTy6x_s7ny80dJPJS3_cwTDTdGEVMZSkHLRc0OBDpg1IAQaQVywcqwqa1XkGd4_CFjrac=.jpg
메가MGC커피 배곧한라비발디점,음료,(ICE)녹차라떼,4500,향긋한 녹차에 우유를 더해 입 안에 부드러운 푸릇함을 선물하는 라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/4/1uddJztS6QEfLq2NH_rAW0IzUNeEBLgiKKrA7JqBR3V_tmW371jQgIvUVRi8JE1qsUaw2Bj8A43kVbxv6C1vjXh0S1fmLPoTHnWruUTwO9c=.jpg
메가MGC커피 배곧한라비발디점,음료,(HOT)곡물라떼,4300,곡물에 우유가 더해져 고소하게 즐길 수 있는 음료,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/14/s1JoYM41s3UL9d9duiITlpRveqNJ9ZPoKCEPqBrIl7pogOcgO_re_UGmwib4k61BQArOgxfhJzOrHfJG1zh2Quux7j-vNGZWgk4EBSH0V-0=.jpg
메가MGC커피 배곧한라비발디점,음료,(ICE)곡물라떼,4300,곡물에 우유가 더해져 고소하게 즐길 수 있는 음료,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/4/ZvwaiPsQ9NyHmmWoDrxj_iVxE4CnYGE6SyshuCHQZk84mFHRHb-ksl9hnQdeuD5UqOmQfmjCgZEeGCZ4k4PlpgujzoYO_DT-vZidL4eZDoQ=.jpg
메가MGC커피 배곧한라비발디점,음료,(HOT)고구마라떼,4500,달콤한 고구마와 부드러운 우유의 만남. 남녀노소 좋아하는 인기메뉴,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/14/cdhTq5oFedoZrolvgZxoH4WnPfYvQxK1fW7CizE1VmUIz90UXIgBv0ZQgU0DVaCmpu-XNsp29DLxNa5MOQkarAzbVmkVeBCc9vFLZprVfhQ=.jpg
메가MGC커피 배곧한라비발디점,음료,(ICE)고구마라떼,4500,달콤한 고구마와 부드러운 우유의 만남. 남녀노소 좋아하는 인기메뉴,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/4/ot1EO578pwS6sD5O4MLPwLfbmAYDCW-Lfq8fOUKOKhskKGgcwbPkFg061K5BrPrfHe2Xg4_aYVzJz4Lv1Eu9DVWJy0OIQ5-Q65zgWPrTDQw=.jpg
메가MGC커피 배곧한라비발디점,음료,(ICE)흑당버블라떼,4700,모리셔스의 진한 흑당이 들어간 라떼에 쫀득한 버블을 넣어 먹는 즐거움을 전하는 라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/4/z1NoRdTofJclMTopMiVplDN_6dJxrRaK4i3Grg5Uv7m-3RqS1pP5LOhp1nJ-rA65qA81nu_nmhaA6WKw8wkSQjfkYd0F4mw3yyUl2eTOOrg=.jpg
메가MGC커피 배곧한라비발디점,음료,(ICE)흑당버블밀크티라떼,4800,홍차의 깊은 맛과 향긋함을 더한 흑당버블밀크티,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/4/xK7cnG4T8IfWhkGDuVomAPVDk6x6h1M9C8kSP3LyplfwBHaogVd_lxqB1rSdoI_y16Y0pUCI209CL3MMHcBQkrp5hrVKSK-idKMwlSdBn2k=.jpg
메가MGC커피 배곧한라비발디점,음료,(ICE)흑당라떼(펄X),4300,모리셔스의 진한 흑당과 부드러운 우유가 달콤하게 조화를 이루는 라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/4/JZ1v49xs3cLAzISRCEs6xask0E5eapzo8ZJCBcgBnKazBtBqLipOaYBgtJNRLd6HspNDpAVLEjlHeBkdIrHmjJ9fs3uxmJb4gYUls4uGs50=.jpg
메가MGC커피 배곧한라비발디점,음료,(ICE)흑당밀크티라떼(펄X),4500,달콤한 흑당과 타바론 얼그레이 홍차를 넣은 밀크티 라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/4/DmXLWIIWB1_6yywJHwfhPRn9hlK8d4due2jKiN3fk_XxgsnwfIttVvSGO8HPz5a4m34Om_7QXvud0nHhbE1vKOLPJBU1ZaN2u6f_vdTlxR4=.jpg
메가MGC커피 배곧한라비발디점,티,복숭아아이스티,3800,홍차의 깊은 맛과 풍부한 복숭아 향이 어우러진 달콤한 여름철 인기 음료,O,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/3/28/hFZfNE45RMxnk9kn5zbdC6V2UcrsA-6W3dG2hoWBmGYsDJy2xfn_bOhFVVKMBj6m17_bVH0SzJE51sj9oCMayKKDu63hIRTCDrobrLPQ8KU=.jpg
메가MGC커피 배곧한라비발디점,티,(HOT)사과유자차,4500,애플 티의 향긋함과 유자청의 상큼함이 어우러진 과일 티,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/14/IQzkyuSvf9uYWOlitBKrve9psGpHikZLFJWkXdtxlq1_5JvnKj-kXxPhqOkjtxIiSol9W6mxky1kMqLXJ0SIWWc8aL5fiawESQWws1Lsa5Y=.jpg
메가MGC커피 배곧한라비발디점,티,(ICE)사과유자차,4500,애플 티의 향긋함과 유자청의 상큼함이 어우러진 과일 티,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/4/PyQzngk8ggsOC87jw3q-nLcdOuQl8Y4sOvp6qLG897jS15jXH5M3t2ONNT9v3BlxwypU_SWVovKGGR9YBLjn0BotM8P_p8-SgfRSZ7eLT84=.jpg
메가MGC커피 배곧한라비발디점,티,(HOT)허니자몽블랙티,4700,달콤한 꿀청에 재운 자몽에 홍차의 부드러움을 어우른 상큼한 과일티,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/14/9duwCk5Eis2jdoy6uwulJ6vH775tKK34N1_ormnXTrYYfjZo8TQa_gQPhRBCoy9o3ImtElZzi0XgasSmYVitxrNACEtOU1gIN0gdmQ2Dt8o=.jpg
메가MGC커피 배곧한라비발디점,티,(ICE)허니자몽블랙티,4700,달콤한 꿀청에 재운 자몽에 홍차의 부드러움을 어우른 상큼한 과일티,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/4/lkXrVZtrIjXL5jbPXM504l7ZVxfXHtd_aqrN5gcl4FmSdvjespVbe3jvpJhM54ciQu171bRy86SlKuxtBGQ1Hzk3bbWR_-NXTuN9Bi15BF8=.jpg
메가MGC커피 배곧한라비발디점,티,(HOT)상큼 리치티,4900,"하얀 눈 속을 달리는 빨간 코 루돌프와 닮은 리치티. 리치, 라임, 망고스틴 베이스에 레드 커런트, 로즈마리를 더한 상큼한 과일티",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/11/7/Oxu-kKWbsW50XTxuqnZ3gV1IQETV6AziBkVm-gkMVbmcdAO0sv-9IF-SdA1dlAsW0PAyd1kKpcVElqzpIFuIm0g6KAeHmCFFMGP8BOoLMzU=.jpg
