업소명,카테고리,메뉴명,가격,설명,대표메뉴,이미지URL
더벤티 시흥배곧한라점,커피,(핫)카페라떼,3500,더벤티의 진한 에스프레소에 부드러운 우유가 어우러진 고소한 카페라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/LIX7GbqNWga7m0fxzcc1X73KKfJ9M3mFRKePa0-K-6wGD6ntAfCVaerphaBmXfenp7kPpLQ4pMTxU-aEGpmVy4BaYZCYwi5j5v6-w-IflIo=.jpg
더벤티 시흥배곧한라점,커피,(아이스)시그니처딥라떼,4300,깊고 더 고소한 더벤티만의 시그니처 베이스로 완성한 카페 라떼,O,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/5/29/OR6GbMz61RfXQinZB9GsEXotfY9LbiO47os4JjieFqsz9z_Iwte5Y8Kcp-EDwwoK6HjP3bwTqCIX6ykcG--SgNER0xjQKAs0vG5MwgNqPsE=.jpg
더벤티 시흥배곧한라점,커피,(핫)시그니처딥라떼,4300,깊고 더 고소한 더벤티만의 시그니처 베이스로 완성한 카페 라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/5/29/XD4p4w86W1j4NY-qnsHTWfvWN2XVe03GuhKsuxdJLXZY6WH360f6C8TG9mSTcxBMjx4PNBNE55Yy48YPZWV1NJNNvfo69q-uO6M-ZpYeuzA=.jpg
더벤티 시흥배곧한라점,커피,(아이스)오트카페라떼,4300,리치한 풍미의 귀리음료에 다크로스트 원두의 풍미가 어우러지는 오트카페라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/RgEGcSz07kSdRHpLyFxInn5utxYy-6hJxb2HgxH1hsrvuC9FFVbunsmwYhwCxCFiaDXymwILMUgrkGklI2QcSbpkfLaRQ8Y0TWA-esfQeE4=.jpg
더벤티 시흥배곧한라점,커피,(핫)오트카페라떼,4300,리치한 풍미의 귀리음료에 다크로스트 원두의 풍미가 어우러지는 오트카페라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/KI9Egvyj-gaqIKUszg3_93uvYfpzpYzWd6AC8kkvlrZlwgzpEblZyk8FlAvYQIwdiNbu1e4OJ4EW_RVl77Wp4ZSyACmOczMOGNVgUczTHMk=.jpg
더벤티 시흥배곧한라점,커피,(아이스)믹스커피,3000,원조 인스턴트 커피의 맛을 부드럽게 느낄 수 있는 더벤티만의 믹스커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/75HbYUG1rS2-lQcWja1RDt_7h1AlNho4fsFT_20yAg1KCUvV8Jku0y5lx9JEEoJbvftrS1lR3UbKMHpPZWmwIHw7voOGAcXOD-_Z6l762Xo=.jpg
더벤티 시흥배곧한라점,커피,(핫)믹스커피,3000,원조 인스턴트 커피의 맛을 부드럽게 느낄 수 있는 더벤티만의 믹스커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/6pGdVEYogbKnUIdPTalKPmJG5QPiHG-4UopxwmFVQiCx1EbLtX9CwI2A-Pwvi9t5VA6iSX1RHSAQHmZK384K2rvEwnwrFJuUOlLVyUva6Ps=.jpg
더벤티 시흥배곧한라점,커피,(아이스)바닐라딥라떼,4200,더벤티의 진한 에스프레소에 고급스러운 바닐라 풍미가 부드럽게 어우러진 바닐라딥라떼,O,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/j7UIZsL6Vt-anUch1WxpNLWvra-P2mrNzzEn67quKZhyUQhtsVm0hU3U4YcU8N8GZoSTQ9QARoAOx44aX7CMiK-HX1LCtKl3j2-PygctmTk=.jpg
더벤티 시흥배곧한라점,커피,(핫)바닐라딥라떼,4200,더벤티의 진한 에스프레소에 고급스러운 바닐라 풍미가 부드럽게 어우러진 바닐라딥라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/x3jKRflD00eGNsRYTObvdIEZpAOfOiKnZYuLFMl_fMhdwiw-LVLC9PWzfq1nIR9c9f7ysr7ZoKU3Kg7Jmm2KpFZE7djw9-biAvZVDA60Mh0=.jpg
더벤티 시흥배곧한라점,커피,(아이스)헤이즐넛딥라떼,4200,더벤티의 진한 에스프레소에 고소한 헤이즐넛 풍미가 감미롭게 어우러진 헤이즐넛딥라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/CW8anC9zXAy7Q7LFaYEWocRWU0T4knrUSpMjidgK1gaOQg9M5nd5tiZHtEKYJv7n7m-2OwsAZJc6WitzNXyQ-B5Om6OjmzSILd3-Lbb2FH4=.jpg
더벤티 시흥배곧한라점,커피,(핫)헤이즐넛딥라떼,4200,더벤티의 진한 에스프레소에 고소한 헤이즐넛 풍미가 감미롭게 어우러진 헤이즐넛딥라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/h1e8ey1MXshMEoSucirmEKOvMU-LRGXp-ALmakSvd8ewWZciXeDwCC4B23xV7OCBzFeOofarQI_ZpxsgKUw0FE08HnZ3MFtA_ZHuptgJGEA=.jpg
더벤티 시흥배곧한라점,커피,(아이스)코코넛라떼,4000,더벤티의 진한 에스프레소에 고소한 코코넛 풍미가 부드럽게 어우러진 코코넛라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/22/RJlICnwGcVyUZNHTErd0GryoCmDtqQkp8g-LgbRIwd8ypZm_OQiXMivKbaiGU9kZlVZWqEvtPq1J1GzR4V-kzOQ8e9NHiA9hxJvqfEaEcgA=.jpg
더벤티 시흥배곧한라점,커피,(핫)코코넛라떼,4000,더벤티의 진한 에스프레소에 고소한 코코넛 풍미가 부드럽게 어우러진 코코넛라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/22/11jg-0vg6Nmbr2GWtXa8jPuh_eXNtsBBbd0_la_lK7kSLYIsjAEHGd8woX6lYeE5LAju3lZ1gVZpU_U9lpN3oZbV9AKbDXdqVrqBWM88RjA=.jpg
더벤티 시흥배곧한라점,커피,(아이스)아인슈페너,4000,[음료 특성상 빨대는 제공되지 않습니다] 더벤티만의 특별한 레시피로 만든 크림을 얹어 부드럽고 달콤하게 마실 수 있는 아인슈페너 (하프벤티 사이즈),,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/zXYl0eyMOiRDMjOykNL7pPxKcvfSbaUPWPtGDjF-VpVvlbXh3ldv3WuYLh6HIOf7SyOE3YOVdHWPspTEMLDbLnuGk37rpXSpmlvEz8IKvgI=.jpg
