업소명,카테고리,메뉴명,가격,설명,대표메뉴,이미지URL
우지커피 배곧한라비발디점,입 안 가득 즐기는  우지커피 여름시즌메뉴,수박 캐모마일 자몽 리프레쉬티,6300,"수박의 청량함과 캐모마일의 은은한 향, 
포멜로의 산뜻함, 자몽의 상큼함이 어우러져
입안에서 상쾌하게 퍼지는 맛
가볍게 즐길 수 있는 리프레쉬 블렌딩 티",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/5/7/-1OVBMmbGjTdJgDzcY48ofETkqWl-8ODxg1ZoYcZy3VkdeGQQM2Ak9xjf7DPSvSzHmGbElN-7HFMo6XbYMekeEwagzwmSROrYPndVl3uDzc=.jpg
우지커피 배곧한라비발디점,우지커피 시그니처 메뉴,송파라떼(HOT),4900,"우지커피만의 시그니처 곡물베이스를 사용해
은은한 단맛과 감칠맛, 묘한 고소함과 향미가
느껴지는 라떼 우지커피의 출발점인
'송파'에서 이름을 따온 시그니처 커피",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/10/29/aU2OVDPVX_1rtlRgMkQqn8xZ5YeJvqaVPqQ3orsHRvDHwTieK-Ky3yVTFExLHXzuziAglYOcm8Tx0SNCEpzL20VH4jEipxX2ny7mNN1pwcU=.jpg
우지커피 배곧한라비발디점,우지커피 시그니처 메뉴,송파라떼(ICE),4900,"우지커피만의 시그니처 곡물베이스를 사용해
은은한 단맛과 감칠맛, 묘한 고소함과 향미가
느껴지는 라떼 우지커피의 출발점인
'송파'에서 이름을 따온 시그니처 커피",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/10/29/aU2OVDPVX_1rtlRgMkQqn8xZ5YeJvqaVPqQ3orsHRvDHwTieK-Ky3yVTFExLHXzuziAglYOcm8Tx0SNCEpzL20VH4jEipxX2ny7mNN1pwcU=.jpg
우지커피 배곧한라비발디점,우지커피 시그니처 메뉴,디카페인 송파라떼(HOT),5900,"우지커피만의 시그니처 곡물베이스를 사용해
은은한 단맛과 감칠맛, 묘한 고소함과 향미가
느껴지는 라떼 우지커피의 출발점인
'송파'에서 이름을 따온 시그니처 디카페인 커피",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/10/29/ooS-6i_DksjH7p2LWurjUls40LwTF1bN2hDI7BEAu7H6dfTRdz4jpeUDK2bVis5kVLyYVEb66r0NKozL9WHKCAyOL_277Bsdx6gmN08gyMg=.jpg
우지커피 배곧한라비발디점,우지커피 시그니처 메뉴,디카페인 송파라떼(ICE),5900,"우지커피만의 시그니처 곡물베이스를 사용해
은은한 단맛과 감칠맛, 묘한 고소함과 향미가
느껴지는 라떼 우지커피의 출발점인
'송파'에서 이름을 따온 시그니처 디카페인 커피",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/10/29/ooS-6i_DksjH7p2LWurjUls40LwTF1bN2hDI7BEAu7H6dfTRdz4jpeUDK2bVis5kVLyYVEb66r0NKozL9WHKCAyOL_277Bsdx6gmN08gyMg=.jpg
우지커피 배곧한라비발디점,우지커피 시그니처 메뉴,클래식도넛(2ea),3500,"포슬한 식감의 도넛에 시나몬슈가를 입혀,
한국의 전통적인 디저트인 꽈배기의
맛으로 재해석한 따듯한 핫도넛",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/10/29/qYWmifocwm2m3eJrIWlmjmDKlVreqV-dCzGoBXQPBrzvhSfXr6OwRtoCoLjWTFXA9-fBZrmAhy46F0a-57D7FEQyPZCWqOS0JfRE_m3y59c=.jpg
우지커피 배곧한라비발디점,우지커피 시그니처 메뉴,클래식도넛(4ea),5300,"포슬한 식감의 도넛에 시나몬슈가를 입혀,
한국의 전통적인 디저트인 꽈배기의
맛으로 재해석한 따듯한 핫도넛",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/10/29/qYWmifocwm2m3eJrIWlmjmDKlVreqV-dCzGoBXQPBrzvhSfXr6OwRtoCoLjWTFXA9-fBZrmAhy46F0a-57D7FEQyPZCWqOS0JfRE_m3y59c=.jpg
우지커피 배곧한라비발디점,우지커피 시그니처 메뉴,글레이즈도넛(2ea),3500,"폭신한 도넛에 달콤한 슈가코팅을 더해
한국의 전통적인 디저트인 맛탕의
맛으로 재해석한 글레이즈도넛",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/10/29/SMs4s8Y4UJoc0RY8gmT_jq6NQ0WTVdyck3Kvkq8tKISV7IYUCLkQmwAqo8z_MrX2tkFXmPq7_mSBUJ9Zy8XBBl6FNf5FXa_pvIJ1FNz87xI=.jpg
우지커피 배곧한라비발디점,우지커피 시그니처 메뉴,글레이즈도넛(4ea),5300,"폭신한 도넛에 달콤한 슈가코팅을 더해
한국의 전통적인 디저트인 맛탕의
맛으로 재해석한 글레이즈도넛",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/10/29/SMs4s8Y4UJoc0RY8gmT_jq6NQ0WTVdyck3Kvkq8tKISV7IYUCLkQmwAqo8z_MrX2tkFXmPq7_mSBUJ9Zy8XBBl6FNf5FXa_pvIJ1FNz87xI=.jpg
우지커피 배곧한라비발디점,플랫사이즈 에스프레소 음료,피넛크림라떼(ONLY ICE),5800,(SMALL SIZE) 우지커피만의 시그니처 라떼. 고소하고 달콤한 땅콩크림과 진한 에스프레소로 빨대없이 즐기는 라떼디저트처럼 즐길 수 있는 시그니처커피,O,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/8/9/-G9oVRCLJrE7HmQYDuF2_zZuwMpWthnRu1VCtctQelgWsmWEc77JS4qGjhMPha0nVM_rU04Ry39dg8xBpYlAfSYSv9hXLTxN6-4PKq3JVbs=.jpg
