menu_id,restaurant_id,name,price,image_url
cafe_001_menu_093,cafe_001,(아이스)멜팅초코,4400,
cafe_001_menu_094,cafe_001,딸기라떼,4000,
cafe_001_menu_095,cafe_001,딸기 연유라떼,4800,
cafe_001_menu_096,cafe_001,(아이스)미숫가루라떼,4000,
cafe_001_menu_097,cafe_001,(핫)미숫가루라떼,4000,
cafe_001_menu_098,cafe_001,(아이스)더쌍화라떼,4300,
cafe_001_menu_099,cafe_001,(핫)더쌍화라떼,4300,
cafe_001_menu_100,cafe_001,(아이스)우베퍼플라떼,4300,
cafe_001_menu_101,cafe_001,(핫)우베퍼플라떼,4300,
cafe_001_menu_102,cafe_001,타로버블티,4400,
cafe_001_menu_103,cafe_001,흑설탕버블티,4400,
cafe_001_menu_104,cafe_001,애플과채주스,4800,
cafe_001_menu_105,cafe_001,오렌지과채주스,4800,
cafe_001_menu_106,cafe_001,체리콕,4400,
cafe_001_menu_107,cafe_001,크림소다,4400,
cafe_001_menu_108,cafe_001,메론소다,4400,
cafe_001_menu_109,cafe_001,복숭아에이드,4400,
cafe_001_menu_110,cafe_001,체리에이드,4400,
cafe_001_menu_111,cafe_001,리치캐모마일스파클링,3800,
cafe_001_menu_112,cafe_001,제주청귤스파클링,3800,
cafe_001_menu_113,cafe_001,트로피칼스파클링,3800,
cafe_001_menu_114,cafe_001,애플망고에이드,4400,
cafe_001_menu_115,cafe_001,자몽에이드,4400,
cafe_001_menu_116,cafe_001,레몬에이드,4400,
cafe_001_menu_117,cafe_001,(아이스)이천쌀 라떼,3800,
cafe_001_menu_118,cafe_001,(핫)이천쌀 라떼,3800,
cafe_001_menu_119,cafe_001,(아이스)이천쌀 흑임자폼 라떼,4000,
cafe_001_menu_120,cafe_001,(핫)이천쌀 흑임자폼 라떼,4000,
cafe_001_menu_121,cafe_001,(아이스)율무오트라떼,4400,
cafe_001_menu_122,cafe_001,(핫)율무오트라떼,4400,
cafe_001_menu_123,cafe_001,율무프라페,4400,
cafe_001_menu_124,cafe_001,(아이스)말차 아인슈페너,4000,
cafe_001_menu_125,cafe_001,(아이스)말차라떼,4000,
cafe_001_menu_126,cafe_001,(핫)말차라떼,4000,
cafe_001_menu_127,cafe_001,말차프라페,4400,
cafe_001_menu_128,cafe_001,초코쉐이크,4400,
cafe_001_menu_129,cafe_001,밀크쉐이크,4400,
cafe_001_menu_130,cafe_001,에스프레소쉐이크,4400,
cafe_001_menu_131,cafe_001,딸기쉐이크,4400,
cafe_001_menu_132,cafe_001,딸기초코쿠키스무디,4800,
cafe_001_menu_133,cafe_001,망고스무디,4700,
cafe_001_menu_134,cafe_001,블루베리요거트스무디,4400,
cafe_001_menu_135,cafe_001,망고요거트스무디,4400,
cafe_001_menu_136,cafe_001,플레인요거트스무디,4400,
cafe_001_menu_137,cafe_001,딸기요거트스무디,4400,
cafe_001_menu_138,cafe_001,복숭아요거트스무디,4400,
